area,UTM_X,UTM_Y
9.356852,617805.020286,4981824.26606
8.211898,598438.858027,4981858.40843
1.11,593241.545211,4982000.28575
5.038501,589949.29302,4981846.71764
10.778496,610006.004753,4981983.01525
22.694898,594512.048015,4981758.62566
2.869301,597674.930019,4982162.14633
13.213749,641936.322996,5004101.13479
3.334298,628008.082343,5004242.26767
2.45865,595560.740523,4982313.06335
6.402097,618028.365158,4982249.40535
5.733652,594408.407193,4982311.5094
2.188997,635848.431783,5022018.73786
25.180753,588913.989307,4981722.84999
12.192801,611231.494875,4982394.2974
20.18095,598180.947312,4982482.30768
8.695824,585316.594555,4982549.16682
22.593899,599151.413441,4982597.90205
2.110751,592450.355807,5004945.43097
7.09335,590480.125901,4982496.54923
12.461098,591418.708705,5004815.89467
1.71265,592285.037061,4982944.42419
7.944698,641247.328599,5005021.9589
3.699751,672447.41329,5022392.48869
8.35874,585681.541199,4982611.50462
4.237801,592606.252308,4982901.32253
14.029199,615340.482432,4983197.54922
3.72735,587916.667868,4983363.1175
37.197399,587583.693131,4982007.11013
1.477049,582546.164102,4983475.36532
10.045998,583406.32568,4983378.76983
3.169497,592848.504233,4983435.8253
35.061157,586963.057012,5005065.17182
22.279601,606410.449639,4983037.98748
12.167298,616829.971664,4983437.87742
5.2561,593315.038679,4983420.67122
5.077898,595645.312762,4983629.85463
4.27195,592457.968483,4983773.23177
1.148204,582243.056482,4983756.41064
1.939802,586557.948618,4983843.60017
1.532848,599586.990744,4983885.46081
36.432045,589604.142212,4982901.45798
1.5812,608693.630453,4983983.5885
2.850395,599797.364971,4983979.27707
36.265343,586668.304615,4983443.06802
49.594838,594223.484433,4983527.47278
4.815597,589262.586641,4984020.33082
6.367951,592164.230161,4983667.20498
8.792801,587157.369714,4983946.5228
1.133507,582276.605482,4984186.66317
3.368499,606170.78277,4984169.90791
5.225249,605872.532797,4984114.19003
1.239933,581337.953837,4984296.42122
1.687199,586930.19184,4984382.43276
14.322,617565.580899,4984197.58117
1.564447,582175.811443,4984366.71306
1.896098,617909.104923,4984476.12274
2.233449,587164.532673,4984528.75651
22.796144,589809.31161,5006917.63364
4.062552,607691.523558,4984650.39352
1.50425,587645.717925,4984640.15752
10.005198,607241.743307,5007180.84087
10.609948,593318.173034,4984618.16891
20.228753,593646.194485,5007170.2421
1.750764,611508.62982,5024085.95447
1.38895,581545.672554,4984605.16924
1.188649,588280.8638,4984922.66906
4.521946,589118.811235,4984970.38002
4.353999,588585.549586,4984881.02579
2.3755,592287.684898,4985060.49981
2.953051,591109.740421,4985191.27766
6.383047,660299.856731,5024332.02122
10.782548,580187.256805,5007458.68946
2.804698,609127.143933,4985474.95167
2.544398,592363.556967,4985479.35112
1.523398,584438.015758,4985719.73471
1.729501,597888.981849,4985647.78693
13.136454,581313.545756,4985492.56498
2.483651,617605.813186,5008019.3899
2.803351,605636.671334,4985836.46309
15.95575,583397.735758,4985647.99671
4.956549,618541.272603,4986008.45981
4.793998,584146.310193,4986037.92427
2.252748,617536.654727,4986206.25399
10.490599,580676.879827,4986139.41634
1.142148,644837.250196,5008341.72094
1.966298,585890.716584,4986372.41889
10.371147,584950.156856,4986271.28604
17.707346,586485.048225,4986273.61976
1.126248,628943.355109,4986569.59868
8.649397,639583.570953,4986478.27891
8.4693,583762.961181,4986660.39158
29.386248,594953.896473,4986126.34054
2.47695,578562.098735,4986856.94746
14.144347,584496.233585,4986701.59917
2.384649,582186.337138,4986989.55019
16.215101,580714.438421,4986900.27445
2.488698,581931.056075,4987124.87141
1.666299,668952.69312,5039369.46886
41.5077,588148.924393,4986763.91717
2.931053,617578.131261,4987284.8934
6.624946,670103.490285,5025549.75177
10.029051,580456.368338,4987391.16561
13.3091,585748.541179,4987497.26962
46.78989,593941.656249,4987355.86658
26.367249,602473.307289,4987705.32794
1.2589,578939.677299,4988071.18867
10.944001,607931.598805,4987958.06477
16.605749,592606.650559,5009483.67619
20.5353,601266.023563,4988367.06151
8.85785,589960.661588,5009537.61786
1.1627,607286.190151,4988640.22879
1.140399,604946.385786,4988720.34424
53.033058,589845.926101,4988337.45841
4.132346,654155.557503,4988858.62604
1.29735,598564.461806,4989070.26587
3.453247,584841.699078,4988989.42597
1.3131,589766.121183,4989158.86254
6.90675,604620.315627,4989137.12151
1.200898,635323.20811,4989275.53063
1.91915,600823.640344,4989401.32938
11.485599,592740.077853,4989148.16121
8.426198,640335.762174,4989319.22545
2.066001,603247.169326,4989458.30721
3.91495,648881.276932,4989425.62342
